timestamp,status,price,short sma,long sma,profit since opening trade,total profit,networth,leverage
2024-12-02 11:04:19,idle,96947.3,97050.40199999994,97046.776,0.0,-45.060000000026776,294153.2400000008,1.0
2024-12-02 11:04:35,idle,96988,97040.14199999995,97038.611,0,-45.060000000026776,294153.2400000008,1
2024-12-02 11:04:50,Open Short Trade,96971.81,97036.90599999994,97037.802,0,-45.060000000026776,294153.2400000008,1
2024-12-02 11:05:06,active,97000,97042.54,97039.21,-28.19,-45.06,294153.24,1
2024-12-02 11:05:21,active,96988.47,97020.26,97032.91,-16.66,-45.06,294153.24,1
2024-12-02 11:05:37,active,96975.87,97008.14,97029.88,-4.06,-45.06,294153.24,1
2024-12-02 11:05:52,Close Short Trade (SL),97039.5,97028.16,97034.89,-67.69,-112.75,294085.55,1
2024-12-02 11:06:08,Open Long Trade,97088,97037.85999999996,97037.3115,0,-112.7500000000291,294085.5500000008,1
2024-12-02 11:06:23,active,97068,97031.45999999995,97031.112,-20,-112.7500000000291,294085.5500000008,1
2024-12-02 11:06:39,active,97124,97042.65999999995,97033.912,36,-112.7500000000291,294085.5500000008,1
2024-12-02 11:06:55,active,97152.02,97048.26,97035.31,64.02,-112.75,294085.55,1
2024-12-02 11:07:10,active,97169.76,97049.66,97035.66,81.76,-112.75,294085.55,1
2024-12-02 11:07:26,Close Long Trade (TP),97192,97079.48799999995,97044.1125,104,-8.750000000029104,294189.5500000008,1
2024-12-02 11:07:41,idle,97269.14,97093.51199999996,97047.6185,0,-8.750000000029104,294189.5500000008,1
2024-12-02 11:07:57,idle,97329.98,97105.34199999995,97050.576,0,-8.750000000029104,294189.5500000008,1
2024-12-02 11:08:12,idle,97330,97105.68599999996,97050.662,0,-8.750000000029104,294189.5500000008,1
2024-12-02 11:08:28,idle,97300,97176.29599999994,97073.43450000002,0,-8.750000000029104,294189.5500000008,1
2024-12-02 11:08:43,idle,97300.97,97176.67799999996,97073.53000000001,0,-8.750000000029104,294189.5500000008,1
2024-12-02 11:08:59,idle,97306.46,97177.77399999995,97073.80400000002,0,-8.750000000029104,294189.5500000008,1
2024-12-02 11:09:14,idle,97295.2,97176.48399999995,97073.48150000002,0,-8.750000000029104,294189.5500000008,1
2024-12-02 11:09:30,idle,97311.97,97239.40399999995,97094.85549999999,0,-8.750000000029104,294189.5500000008,1
2024-12-02 11:09:45,idle,97327.99,97244.01999999995,97096.0095,0,-8.750000000029104,294189.5500000008,1
2024-12-02 11:10:01,idle,97308,97240.01999999995,97095.0095,0,-8.750000000029104,294189.5500000008,1
2024-12-02 11:10:16,Open Short Trade,97339.83,97244.10399999996,97096.0305,0,-8.750000000029104,294189.5500000008,1
2024-12-02 11:10:32,active,97339.81,97246.38,97096.6,0.02,-8.75,294189.55,1
2024-12-02 11:10:47,active,97288,97236.02,97094.01,51.83,-8.75,294189.55,1
2024-12-02 11:11:03,Close Short Trade (TP),97236.01,97225.62,97091.41,103.82,95.07,294293.37,1
2024-12-02 11:11:18,idle,97179.99,97227.22199999995,97102.73200000005,0,95.06999999997788,294293.3700000008,1
2024-12-02 11:11:34,idle,97263.42,97246.30399999995,97107.50250000003,0,95.06999999997788,294293.3700000008,1
2024-12-02 11:11:50,idle,97256.95,97245.02999999994,97107.18400000004,0,95.06999999997788,294293.3700000008,1
2024-12-02 11:12:05,idle,97212,97236.01999999995,97104.93150000004,0,95.06999999997788,294293.3700000008,1
2024-12-02 11:12:20,idle,97176.35,97228.88999999994,97103.14900000005,0,95.06999999997788,294293.3700000008,1
2024-12-02 11:12:36,idle,97195.67,97228.27399999995,97118.44100000002,0,95.06999999997788,294293.3700000008,1
2024-12-02 11:12:51,idle,97184.02,97225.94399999994,97117.85850000002,0,95.06999999997788,294293.3700000008,1
2024-12-02 11:13:07,idle,97240,97237.13999999994,97120.65750000002,0,95.06999999997788,294293.3700000008,1
2024-12-02 11:13:23,idle,97277.14,97230.48799999994,97141.25350000002,0,95.06999999997788,294293.3700000008,1
2024-12-02 11:13:38,idle,97260.01,97227.81599999995,97140.58550000002,0,95.06999999997788,294293.3700000008,1
2024-12-02 11:13:54,idle,97222,97220.21399999995,97138.68500000003,0,95.06999999997788,294293.3700000008,1
2024-12-02 11:14:10,idle,97267.98,97227.72799999994,97140.56350000002,0,95.06999999997788,294293.3700000008,1
2024-12-02 11:14:26,idle,97250.91,97228.85399999993,97150.7995,0,95.06999999997788,294293.3700000008,1
2024-12-02 11:14:41,idle,97202.95,97215.07199999994,97147.354,0,95.06999999997788,294293.3700000008,1
2024-12-02 11:14:57,idle,97268,97232.27199999994,97151.65400000001,0,95.06999999997788,294293.3700000008,1
2024-12-02 11:15:12,idle,97233.59,97225.38799999995,97149.933,0,95.06999999997788,294293.3700000008,1
2024-12-02 11:15:28,idle,97275.6,97247.93599999994,97158.77000000003,0,95.06999999997788,294293.3700000008,1
2024-12-02 11:15:43,idle,97252.03,97243.21199999994,97157.58900000004,0,95.06999999997788,294293.3700000008,1
2024-12-02 11:15:59,idle,97312,97255.93799999994,97160.77050000003,0,95.06999999997788,294293.3700000008,1
2024-12-02 11:16:15,idle,97289.14,97246.33999999994,97158.37100000003,0,95.06999999997788,294293.3700000008,1
2024-12-02 11:16:30,idle,97271.69,97273.76999999993,97162.15100000003,0,95.06999999997788,294293.3700000008,1
2024-12-02 11:16:46,idle,97290.42,97277.51799999994,97163.08800000002,0,95.06999999997788,294293.3700000008,1
2024-12-02 11:17:02,idle,97302.63,97280.23399999994,97163.76700000002,0,95.06999999997788,294293.3700000008,1
2024-12-02 11:17:17,idle,97306,97280.63199999994,97163.86650000003,0,95.06999999997788,294293.3700000008,1
2024-12-02 11:17:33,idle,97238.31,97268.17599999996,97166.70700000005,0,95.06999999997788,294293.3700000008,1
2024-12-02 11:17:48,idle,97208.99,97262.30999999997,97165.24050000004,0,95.06999999997788,294293.3700000008,1
2024-12-02 11:18:04,idle,97156,97251.71199999997,97162.59100000004,0,95.06999999997788,294293.3700000008,1
2024-12-02 11:18:19,idle,97161.73,97227.25199999995,97163.52250000002,0,95.06999999997788,294293.3700000008,1
2024-12-02 11:18:35,idle,97124.01,97219.70799999996,97161.63650000002,0,95.06999999997788,294293.3700000008,1
2024-12-02 11:18:50,idle,97155.24,97225.95599999996,97163.19850000003,0,95.06999999997788,294293.3700000008,1
2024-12-02 11:19:06,idle,97072.01,97210.04199999996,97159.22000000002,0,95.06999999997788,294293.3700000008,1
2024-12-02 11:19:21,Open Short Trade,96979.99,97139.24199999995,97148.23650000003,0,95.06999999997788,294293.3700000008,1
2024-12-02 11:19:37,active,97008,97145.64,97149.84,-28.01,95.07,294293.37,1
2024-12-02 11:19:52,active,96988,97140.84,97148.64,-8.01,95.07,294293.37,1
2024-12-02 11:20:08,Close Short Trade (SL),97064.01,97158.31,97153.0,-84.02,11.05,294209.35,1
2024-12-02 11:20:24,Open Short Trade,97122.89,97133.92799999997,97158.38250000002,0,11.049999999988358,294209.3500000008,1
2024-12-02 11:20:39,active,97156,97141.35,97160.24,-33.11,11.05,294209.35,1
2024-12-02 11:20:55,active,97144.75,97138.95,97159.64,-21.86,11.05,294209.35,1
2024-12-02 11:21:10,active,97132.69,97138.15,97159.44,-9.8,11.05,294209.35,1
2024-12-02 11:21:26,active,97143.49,97108.22,97161.52,-20.6,11.05,294209.35,1
2024-12-02 11:21:41,active,97076.01,97095.34,97158.3,46.88,11.05,294209.35,1
2024-12-02 11:21:57,active,97063.42,97092.82,97157.67,59.47,11.05,294209.35,1
2024-12-02 11:22:12,active,97048.66,97089.87,97156.93,74.23,11.05,294209.35,1
2024-12-02 11:22:28,Close Short Trade (TP),96988,97045.74,97149.1,134.89,145.94,294344.24,1
2024-12-02 11:22:44,idle,96942,97036.54199999994,97146.801,0,145.93999999998778,294344.2400000008,1
2024-12-02 11:22:59,idle,96872.01,97034.53999999995,97146.3005,0,145.93999999998778,294344.2400000008,1
2024-12-02 11:23:15,idle,96783.99,96962.53999999995,97124.63600000003,0,145.93999999998778,294344.2400000008,1
2024-12-02 11:23:30,idle,96827.98,96971.33799999995,97126.83550000002,0,145.93999999998778,294344.2400000008,1
2024-12-02 11:23:46,idle,96824.01,96970.54399999995,97126.63700000002,0,145.93999999998778,294344.2400000008,1
2024-12-02 11:24:01,idle,96841.26,96974.53999999995,97127.63600000003,0,145.93999999998778,294344.2400000008,1
2024-12-02 11:24:17,idle,96792,96964.14399999994,97125.03700000003,0,145.93999999998778,294344.2400000008,1
2024-12-02 11:24:32,idle,96820,96913.02999999996,97119.86,0,145.93999999998778,294344.2400000008,1
2024-12-02 11:24:48,idle,96852,96913.73199999996,97120.0355,0,145.93999999998778,294344.2400000008,1
2024-12-02 11:25:04,idle,96868,96919.33199999997,97121.43549999999,0,145.93999999998778,294344.2400000008,1
2024-12-02 11:25:19,idle,96892.01,96887.99799999996,97121.43549999999,0,145.93999999998778,294344.2400000008,1
2024-12-02 11:25:35,idle,96888,96878.39599999996,97119.035,0,145.93999999998778,294344.2400000008,1
2024-12-02 11:25:50,idle,96907.89,96882.37399999997,97120.02949999999,0,145.93999999998778,294344.2400000008,1
