action,price,short sma,long sma,total profit
None,66348.31,66365.03799999997,66397.26899999994,0
None,66353.4,66346.20199999998,66389.51349999994,0
None,66362,66347.92199999998,66389.94349999995,0
None,66360.52,66347.62599999997,66389.86949999994,0
None,66362,66352.22799999997,66386.08749999995,0
None,66345.06,66348.84199999998,66385.24099999995,0
None,66359.99,66351.82599999997,66385.98699999995,0
None,66363.49,66355.21399999998,66383.93299999995,0
None,66363.49,66355.21199999997,66383.93249999995,0
None,66363.48,66355.21399999998,66383.93299999995,0
None,66393.93,66361.30199999998,66385.45499999994,0
None,66386.26,66367.79399999998,66384.08549999996,0
None,66393.93,66369.32799999998,66384.46899999995,0
None,66392.93,66369.12799999998,66384.41899999995,0
None,66404.27,66371.39999999998,66384.98699999995,0
None,66404.55,66384.14,66384.19949999996,0
Open Long Trade,66419.76,66386.504,66384.79049999996,0
None,66436.83,66389.916,66385.64349999996,0
None,66437.12,66389.976,66385.65849999995,0
None,66451.91,66408.256,66384.31099999994,0
None,66447.48,66407.36799999999,66384.08899999995,0
Close Long Trade (TP),66471.84,66413.376,66385.59099999994,52.080000000001746
None,66516.85,66421.242,66387.55749999995,52.080000000001746
None,66500.01,66448.962,66388.95849999998,52.080000000001746
None,66510,66450.95999999999,66389.45799999997,52.080000000001746
None,66488.01,66446.562,66388.35849999997,52.080000000001746
None,66484.18,66445.796,66388.16699999997,52.080000000001746
None,66507.47,66470.036,66393.23999999996,52.080000000001746
None,66488.54,66466.24999999999,66392.29349999997,52.080000000001746
None,66443.63,66442.50200000001,66412.18649999998,52.080000000001746
None,66443.64,66436.026,66414.98249999998,52.080000000001746
None,66450,66437.296,66415.29999999999,52.080000000001746
None,66441.45,66435.59,66414.87349999999,52.080000000001746
None,66441.45,66441.884,66419.53699999998,52.080000000001746
None,66438.73,66441.338,66419.40049999999,52.080000000001746
None,66448,66443.166,66419.8575,52.080000000001746
None,66449.99,66443.592,66419.96399999999,52.080000000001746
None,66449.99,66448.19,66425.51399999997,52.080000000001746
None,66420,66442.19200000001,66424.01449999996,52.080000000001746
None,66420,66442.194,66424.01499999997,52.080000000001746
